pro_code,pro_name,city_clean,is_beijing,is_shanghai,male,birth_year,age,hs_residence,is_han,high_school,junior_college,bachelor,graduate,rural,Migrate,Migrate_1,Migrate_2,Migrate_3,migration_year,migration_interval,marriage,employed,income_total_m,exp_total_m,food_exp_m,income_to_home,rent_m,income_total_m_win,exp_total_m_win,food_exp_m_win,income_to_home_win,rent_m_win,employment_category,employment_group,workdays_w,workhours_d,hours_per_week,hours_per_week_filled,marriage_year,length_marriage,kids_number,birth_here,Pension_Insurance,Medical_Insurance,Work_Insurance,Unemploy_Insurance,Maternity_Insurance,Housing_Fund,Happiness,year,pro_name_true,English_name,lowest_temp(Jan)_a,average_temp_a,highest_temp(July)_a,precipitation(mm)_a,gdp per capita(k)_a,unemployment(%)_a,education_budget(10k)_a,marriage(10k)_a,population(10k)_a,Medical technicians per 10k_a,road_length_per_10K (km)_a,manageable_income_per_capita_a,lowest_temp(Jan)_b,average_temp_b,highest_temp(July)_b,precipitation(mm)_b,gdp per capita(k)_b,unemployment(%)_b,education_budget(10k)_b,marriage(10k)_b,population(10k)_b,Medical technicians per 10k_b,road_length_per_10K (km)_b,manageable_income_per_capita_b,gdp_before_move,gdp_after_move
11,北京市,北京市,1,0,1,1966,45,13.0,1,1,0,0,0,0,1,1,0,0,2006,5,1,1,3500.0,2000.0,900.0,10000.0,800.0,3500,2000,900,10000,800.0,private_enterprise,formal,6.0,8.0,48.0,48.0,2004.0,7,1,0,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,0,1976,35,34.0,1,1,0,0,0,1,1,1,0,0,2006,5,1,1,5000.0,4000.0,1000.0,3000.0,3000.0,5000,4000,1000,3000,1600.0,other,informal,,,,0.0,1999.0,12,2,0,0,0,0,0,0,0,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,41.2,3.2,10457811.0,79.89,5997.0,44.0,3.9573394079340884,16796.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,1,1986,25,13.0,0,1,0,0,0,1,1,1,0,0,2007,4,0,0,1500.0,3600.0,600.0,300.0,3000.0,1500,3600,600,300,1600.0,casual_worker,informal,6.0,10.0,60.0,60.0,,0,0,0,1,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,13125.60506340697
11,北京市,北京市,1,0,1,1983,28,41.0,1,0,1,0,0,1,1,1,0,0,2005,6,1,0,20000.0,1200.0,200.0,2000.0,500.0,9000,1200,200,2000,500.0,self_employed,self_employed,,,,0.0,2009.0,2,1,0,0,0,0,0,0,0,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,9179.320415083306
11,北京市,北京市,1,0,0,1979,32,37.0,0,1,0,0,0,1,1,1,0,0,2004,7,1,1,8100.0,2200.0,900.0,5000.0,1200.0,8100,2200,900,5000,1200.0,employer,self_employed,,,,0.0,2002.0,9,2,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,8128.198406163446
11,北京市,北京市,1,0,1,1969,42,33.0,1,1,0,0,0,1,1,1,0,0,2004,7,1,1,6000.0,2000.0,1000.0,6000.0,,6000,2000,1000,6000,0.0,self_employed,self_employed,,,,0.0,1997.0,14,1,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,76.0,3.0,16079755.0,43.68,5890.0,68.0,7.406184792191322,32658.0,19892.5502093472,8128.198406163446
11,北京市,北京市,1,0,1,1989,22,23.0,1,0,1,0,0,0,1,1,0,0,2005,6,0,0,0.0,2000.0,800.0,0.0,1200.0,0,2000,800,0,1200.0,other,informal,,,,0.0,,0,0,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-23.16,4.6,27.95,443.0,34.0,4.5,6278812.0,35.23,2467.0,68.0,15.087278491706698,45966.0,19892.5502093472,9179.320415083306
11,北京市,北京市,1,0,1,1970,41,23.0,1,0,0,1,0,0,1,1,0,0,2005,6,1,1,5000.0,4000.0,1000.0,10000.0,2400.0,5000,4000,1000,10000,1600.0,private_enterprise,formal,5.0,8.0,40.0,40.0,2008.0,3,0,0,1,1,1,1,0,1,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-23.16,4.6,27.95,443.0,34.0,4.5,6278812.0,35.23,2467.0,68.0,15.087278491706698,45966.0,19892.5502093472,9179.320415083306
11,北京市,北京市,1,0,1,1974,37,14.0,1,0,1,0,0,0,1,1,0,0,2001,10,1,1,20000.0,10000.0,4000.0,20000.0,,9000,4500,2000,11000,0.0,private_enterprise,formal,,,,0.0,2000.0,11,2,0,0,0,0,0,0,0,14,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-9.95,11.3,29.96,423.2,34.8,3.4,7036233.0,35.07,4358.0,58.0,5.31375335347575,22820.0,19892.5502093472,5051.365098092374
11,北京市,北京市,1,0,1,1978,33,37.0,1,0,1,0,0,0,1,1,0,0,2007,4,1,1,5000.0,3000.0,1500.0,10000.0,1000.0,5000,3000,1500,10000,1000.0,other,informal,,,,0.0,2006.0,5,1,1,1,1,0,1,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-2.91,13.4,28.45,664.0,58.3,3.3,18847752.0,83.18,9808.0,62.0,5.56129294835744,20864.0,19892.5502093472,13125.60506340697
